,Domain,Division,Class,Order,Family,Genus,Cell shape,Cell motility,Sampling ocean,Sampling regional sea,Sampling country,Sampling ecosystem,Isolation by,Sampling by,Deposit to rcc by,RCC medium,RCC temperature,RCC transfer period weeks,RCC light,Remark,Sampling date,Clonal,Axenic,Pure,Heterotrophic,Toxic,Symbiotic,Transformed,STRAIN ID,Latitude,Longitude,Sampling site,Sampling station,Isolation method,Identification method,Isolation medium,Purification by,Purification method,Sampling depth (m),Contaminant type,Sampling cruise,Sampling temperature,Identification by,Cell assemblage,Date entered catalog,Host type,Host genus,Sampling substrate,Isolation growth temperature,Clade,Deposit to RCC date,Sampling water type
RCC5070,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5070,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5071,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5071,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5072,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5072,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5073,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5073,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5074,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5074,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5076,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5076,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5077,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5077,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5078,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5078,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5079,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5079,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5080,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5080,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5081,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5081,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5082,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5082,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5083,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5083,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5084,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5084,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5085,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5085,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5086,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5086,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5087,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,D. Thomas/F. Díaz,P. Von Dassow,K/2-I,17.00,12.00,25,,"Tuesday, August 30, 2016",Yes,No,Yes,No,No,No,No,RCC5087,-30.39,-71.81,coast of Chile,,Single cell sorting of calcified cells (depolarize scatter light),Light microscopy,,,,0,,Coquimbo,,,solitary,,,,,,,,
RCC5088,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, November 30, 2015",Yes,No,Yes,No,No,No,No,RCC5088,-20.1,-70.89,,T5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5089,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5089,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5090,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5090,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5094,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5094,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5095,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5095,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5098,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5098,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5099,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5099,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5100,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5100,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5101,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5101,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5102,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5102,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5105,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5105,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5106,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5106,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5107,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5107,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5108,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5108,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5109,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5109,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5111,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5111,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5112,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5112,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5113,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5113,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5114,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5114,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5115,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5115,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5116,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5116,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5117,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5117,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5118,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5118,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5120,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5120,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5121,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5121,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5122,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5122,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5123,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5123,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5124,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5124,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5127,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5127,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5128,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5128,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5129,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5129,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5130,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, December 7, 2015",Yes,No,Yes,No,No,No,No,RCC5130,-27.51,-71.13,,L5,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5132,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, November 23, 2015",Yes,No,Yes,No,No,No,No,RCC5132,-30.15,-71.97,,LV,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5133,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, November 23, 2015",Yes,No,Yes,No,No,No,No,RCC5133,-30.15,-71.97,,LV,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5134,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, November 23, 2015",Yes,No,Yes,No,No,No,No,RCC5134,-30.15,-71.97,,LV,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5135,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, November 23, 2015",Yes,No,Yes,No,No,No,No,RCC5135,-30.15,-71.97,,LV,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
RCC5136,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,H. A. Ramírez,H. A. Ramírez,P. Von Dassow,K/2-I,15.00,12.00,25,,"Monday, November 23, 2015",Yes,No,Yes,No,No,No,No,RCC5136,-30.15,-71.97,,LV,Single cell sorting of calcified cells (depolarize scatter light),scanning electron microscopy,,,,0,,LowpHox 1,,,solitary,,,,,,,,
